Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,1.0,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993.0,8.0,Yes,11,3.0,1,0.0,8.0,0.5,1,6.0,4.0,0.0,5.0
49,1.0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130.0,1.0,No,23,3.0,4,1.0,10.0,3.0,3,10.0,7.0,1.0,7.0
37,1.0,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,6.0,Yes,15,3.0,2,0.0,7.0,3.0,3,0.0,0.0,0.0,0.0
33,1.0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909.0,1.0,Yes,11,3.0,3,0.0,8.0,3.0,3,8.0,7.0,3.0,0.0
27,1.0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,8.5,No,12,3.0,4,1.0,6.0,3.0,3,2.0,2.0,2.0,2.0
32,1.0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,0.0,No,13,3.0,3,0.0,8.0,2.0,2,7.0,7.0,3.0,6.0
59,1.0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,4.0,Yes,20,3.0,1,2.5,12.0,3.0,2,1.0,0.0,0.0,0.0
30,1.0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,1.0,No,22,3.0,2,1.0,1.0,2.0,3,1.0,0.0,0.0,0.0
38,1.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,0.0,No,21,3.0,2,0.0,10.0,2.0,3,9.0,7.0,1.0,8.0
36,1.0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,6.0,No,13,3.0,2,2.0,17.0,3.0,2,7.0,7.0,7.0,7.0
